GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MATSim Episim,org.matsim.episim.model.listener,HouseholdSusceptibility,82,110,12,10,17,25,10,10,1,8
MATSim Episim,org.matsim.episim.model.listener,HouseholdSusceptibility.Config,26,20,0,0,8,8,3,2,3,2
MATSim Episim,org.matsim.episim.model.listener,WriteAntibodies,121,0,4,0,19,0,5,0,3,0
MATSim Episim,org.matsim.episim.model.listener,WriteContactsPerDay,40,0,2,0,8,0,4,0,3,0
MATSim Episim,org.matsim.episim.events,EpisimPotentialInfectionEvent,195,0,10,0,47,0,20,0,15,0
MATSim Episim,org.matsim.episim.events,EpisimContactEvent,72,0,0,0,19,0,6,0,6,0
MATSim Episim,org.matsim.episim.events,EpisimStartEvent,0,34,0,0,0,10,0,4,0,4
MATSim Episim,org.matsim.episim.events,EpisimVaccinationEvent,11,40,2,0,2,12,3,5,2,5
MATSim Episim,org.matsim.episim.events,EpisimPersonStatusEvent,0,33,1,1,0,11,1,5,0,5
MATSim Episim,org.matsim.episim.events,EpisimEventsReader,490,0,20,0,106,0,28,0,18,0
MATSim Episim,org.matsim.episim.events,EpisimTracingEvent,30,0,0,0,10,0,5,0,5,0
MATSim Episim,org.matsim.episim.events,EpisimInfectionEvent,13,179,2,8,3,43,3,16,1,13
MATSim Episim,org.matsim.episim.events,EpisimInitialInfectionEvent,6,81,0,0,1,17,1,6,1,6
MATSim Episim,org.matsim.episim.events,InitialImmunizationHandler,7,168,2,10,2,37,4,10,2,6
MATSim Episim,org.matsim.episim.model.input,CreateRestrictionsFromCSV,263,269,21,15,41,59,21,15,7,11
MATSim Episim,org.matsim.episim.model.input,CreateRestrictionsFromCSV.Exponential,52,0,0,0,4,0,3,0,3,0
MATSim Episim,org.matsim.episim.model.input,RestrictionInput,297,109,34,16,53,23,21,8,2,2
MATSim Episim,org.matsim.episim.policy,AdjustedPolicy.ConfigBuilder,6,80,1,1,1,14,1,8,0,8
MATSim Episim,org.matsim.episim.policy,AdaptivePolicy,7,291,6,26,2,51,7,17,1,7
MATSim Episim,org.matsim.episim.policy,Restriction,252,1396,65,183,24,233,63,116,6,49
MATSim Episim,org.matsim.episim.policy,FixedPolicy,23,279,4,34,3,56,4,25,0,10
MATSim Episim,org.matsim.episim.policy,AdaptivePolicy.ConfigBuilder,10,82,2,4,2,15,2,7,0,6
MATSim Episim,org.matsim.episim.policy,ShutdownPolicy,0,14,0,0,0,6,0,3,0,3
MATSim Episim,org.matsim.episim.policy,Restriction.ClosingHours,20,115,5,23,1,15,6,14,1,5
MATSim Episim,org.matsim.episim.policy,ShutdownPolicy.ConfigBuilder,0,12,0,0,0,4,0,2,0,2
MATSim Episim,org.matsim.episim.policy,AdjustedPolicy,39,474,6,40,4,80,7,25,1,8
MATSim Episim,org.matsim.episim.policy,FixedPolicy.ConfigBuilder,211,411,33,33,36,64,28,27,7,15
MATSim Episim,org.matsim.episim.model.testing,TestType,54,65,23,17,8,9,13,10,0,3
MATSim Episim,org.matsim.episim.model.testing,FlexibleTestingModel,211,0,24,0,32,0,16,0,4,0
MATSim Episim,org.matsim.episim.model.testing,DefaultTestingModel,152,420,41,55,21,78,34,24,2,8
MATSim Episim,org.matsim.episim.model.testing,TestingModel,1,0,0,0,1,0,1,0,1,0
MATSim Episim,org.matsim.episim.model.testing,DataBasedTestingModel,262,0,32,0,49,0,22,0,6,0
MATSim Episim,org.matsim.episim.model,DefaultInfectionModel,19,305,8,22,3,50,7,15,0,7
MATSim Episim,org.matsim.episim.model,InfectionModelWithSeasonality,0,224,0,6,0,37,0,8,0,5
MATSim Episim,org.matsim.episim.model,InfectionModelWithViralLoad,135,0,0,0,20,0,2,0,2,0
MATSim Episim,org.matsim.episim.model,ProgressionModel,3,0,0,0,3,0,3,0,3,0
MATSim Episim,org.matsim.episim.model,InfectionModel,3,0,0,0,2,0,2,0,2,0
MATSim Episim,org.matsim.episim.model,Transition,5,126,0,4,1,17,1,11,1,9
