GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MATSim Episim,org.matsim.episim.model.listener,HouseholdSusceptibility,192,0,22,0,42,0,20,0,9,0
MATSim Episim,org.matsim.episim.model.listener,HouseholdSusceptibility.Config,46,0,0,0,16,0,5,0,5,0
MATSim Episim,org.matsim.episim.model.listener,WriteAntibodies,124,0,4,0,18,0,5,0,3,0
MATSim Episim,org.matsim.episim.model.listener,WriteContactsPerDay,39,0,2,0,8,0,4,0,3,0
MATSim Episim,org.matsim.episim.events,EpisimPotentialInfectionEvent,195,0,10,0,47,0,20,0,15,0
MATSim Episim,org.matsim.episim.events,EpisimContactEvent,72,0,0,0,19,0,6,0,6,0
MATSim Episim,org.matsim.episim.events,EpisimStartEvent,0,34,0,0,0,10,0,4,0,4
MATSim Episim,org.matsim.episim.events,EpisimVaccinationEvent,11,40,2,0,2,12,3,5,2,5
MATSim Episim,org.matsim.episim.events,EpisimPersonStatusEvent,0,33,1,1,0,11,1,5,0,5
MATSim Episim,org.matsim.episim.events,EpisimEventsReader,488,0,20,0,105,0,28,0,18,0
MATSim Episim,org.matsim.episim.events,EpisimTracingEvent,30,0,0,0,10,0,5,0,5,0
MATSim Episim,org.matsim.episim.events,EpisimInfectionEvent,13,179,2,8,3,43,3,16,1,13
MATSim Episim,org.matsim.episim.events,EpisimInitialInfectionEvent,9,78,0,0,2,16,2,5,2,5
MATSim Episim,org.matsim.episim.events,InitialImmunizationHandler,7,168,2,10,2,37,4,10,2,6
MATSim Episim,org.matsim.episim.model.input,CreateRestrictionsFromCSV,277,248,21,15,47,51,24,11,10,7
MATSim Episim,org.matsim.episim.model.input,CreateRestrictionsFromCSV.Exponential,52,0,0,0,4,0,3,0,3,0
MATSim Episim,org.matsim.episim.model.input,RestrictionInput,297,109,34,16,53,23,21,8,2,2
MATSim Episim,org.matsim.episim.policy,AdjustedPolicy.ConfigBuilder,6,80,1,1,1,14,1,8,0,8
MATSim Episim,org.matsim.episim.policy,AdaptivePolicy,7,291,6,26,2,51,7,17,1,7
MATSim Episim,org.matsim.episim.policy,Restriction,256,1321,64,178,25,217,60,111,5,45
MATSim Episim,org.matsim.episim.policy,FixedPolicy,38,264,6,32,7,52,5,24,0,10
MATSim Episim,org.matsim.episim.policy,AdaptivePolicy.ConfigBuilder,10,82,2,4,2,15,2,7,0,6
MATSim Episim,org.matsim.episim.policy,ShutdownPolicy,0,14,0,0,0,6,0,3,0,3
MATSim Episim,org.matsim.episim.policy,Restriction.ClosingHours,20,115,5,23,1,15,6,14,1,5
MATSim Episim,org.matsim.episim.policy,ShutdownPolicy.ConfigBuilder,0,12,0,0,0,4,0,2,0,2
MATSim Episim,org.matsim.episim.policy,AdjustedPolicy,39,474,6,40,4,80,7,25,1,8
MATSim Episim,org.matsim.episim.policy,FixedPolicy.ConfigBuilder,222,400,33,33,38,62,29,26,8,14
MATSim Episim,org.matsim.episim.model.testing,TestType,54,74,23,17,8,9,13,10,0,3
MATSim Episim,org.matsim.episim.model.testing,FlexibleTestingModel,211,0,24,0,32,0,16,0,4,0
MATSim Episim,org.matsim.episim.model.testing,DefaultTestingModel,152,420,41,55,21,78,34,24,2,8
MATSim Episim,org.matsim.episim.model.testing,TestingModel,1,0,0,0,1,0,1,0,1,0
MATSim Episim,org.matsim.episim.model.testing,DataBasedTestingModel,262,0,32,0,49,0,22,0,6,0
MATSim Episim,org.matsim.episim.model,DefaultInfectionModel,19,272,8,22,3,44,7,15,0,7
MATSim Episim,org.matsim.episim.model,AntibodyModel.Config,33,1002,0,28,9,107,2,17,2,3
MATSim Episim,org.matsim.episim.model,InfectionModelWithSeasonality,0,191,0,6,0,31,0,8,0,5
MATSim Episim,org.matsim.episim.model,InfectionModelWithViralLoad,100,0,0,0,13,0,2,0,2,0
MATSim Episim,org.matsim.episim.model,ProgressionModel,3,0,0,0,3,0,3,0,3,0
MATSim Episim,org.matsim.episim.model,InfectionModel,3,0,0,0,2,0,2,0,2,0
MATSim Episim,org.matsim.episim.model,Transition,5,126,0,4,1,17,1,11,1,9
MATSim Episim,org.matsim.episim.model,DefaultAntibodyModel,0,335,1,37,0,62,1,24,0,6
MATSim Episim,org.matsim.episim.model,AntibodyModel,6,4,0,0,1,1,1,1,1,1
MATSim Episim,org.matsim.episim.model,OldSymmetricContactModel,40,0,0,0,11,0,5,0,5,0
MATSim Episim,org.matsim.episim.model,VaccinationType,0,74,0,0,0,8,0,1,0,1
MATSim Episim,org.matsim.episim.model,DefaultFaceMaskModel,0,11,0,0,0,4,0,2,0,2
MATSim Episim,org.matsim.episim.model,InitialInfectionHandler,3,0,0,0,2,0,2,0,2,0
MATSim Episim,org.matsim.episim.model,Transition.FixedTransition,2,43,1,7,0,9,1,7,0,4
MATSim Episim,org.matsim.episim.model,DefaultContactModel,37,372,11,59,7,66,9,32,0,6
MATSim Episim,org.matsim.episim.model,SqrtContactModel,36,0,0,0,10,0,5,0,5,0
MATSim Episim,org.matsim.episim.model,DirectContactModel,142,0,12,0,32,0,16,0,10,0
MATSim Episim,org.matsim.episim.model,ConfigurableProgressionModel,139,895,33,105,19,172,26,57,0,14
MATSim Episim,org.matsim.episim.model,Transition.LogNormalTransition,7,72,4,10,1,12,4,7,0,4
MATSim Episim,org.matsim.episim.model,AgeDependentInfectionModelWithSeasonality,191,70,0,6,27,10,3,6,3,3
MATSim Episim,org.matsim.episim.model,Transition.Builder,17,334,3,21,2,52,3,16,0,7
MATSim Episim,org.matsim.episim.model,AbstractContactModel,93,703,25,118,19,130,25,68,1,20
MATSim Episim,org.matsim.episim.model,Transition.ToHolder,6,9,0,0,1,4,1,1,1,1
MATSim Episim,org.matsim.episim.model,SymmetricContactModel,42,442,19,67,9,80,16,32,0,5
MATSim Episim,org.matsim.episim.model,PairWiseContactModel,88,0,2,0,22,0,10,0,9,0
MATSim Episim,org.matsim.episim.model,AbstractProgressionModel,3,256,1,27,2,55,2,22,1,9
MATSim Episim,org.matsim.episim.model,AgeAndProgressionDependentInfectionModelWithSeasonality,39,388,5,5,7,52,5,7,1,6
MATSim Episim,org.matsim.episim.model,SimulationListener,2,2,0,0,2,2,2,2,2,2
MATSim Episim,org.matsim.episim.model,InfectionModelWithAntibodies,710,0,42,0,117,0,28,0,7,0
MATSim Episim,org.matsim.episim.model,RandomInitialInfections,33,193,13,15,2,36,10,13,0,9
MATSim Episim,org.matsim.episim.model,FaceMask,0,63,0,0,0,9,0,2,0,2
MATSim Episim,org.matsim.episim.model,DirectContactModel.Group,50,0,8,0,10,0,8,0,4,0
MATSim Episim,org.matsim.episim.model,VirusStrain,0,595,0,0,0,57,0,2,0,2
MATSim Episim,org.matsim.episim,EpisimReporting.InfectionsWriterFields,0,374,0,0,0,4,0,1,0,1
MATSim Episim,org.matsim.episim,ReplayHandler.EventReader,14,114,4,18,2,28,4,9,0,2
MATSim Episim,org.matsim.episim,VaccinationConfigGroup.VaccinationParams,36,420,1,9,6,86,7,42,6,38
MATSim Episim,org.matsim.episim,EpisimConfigGroup.WriteEvents,0,54,0,0,0,6,0,1,0,1
MATSim Episim,org.matsim.episim,InfectionEventHandler,234,2419,33,151,43,416,33,94,3,32
MATSim Episim,org.matsim.episim,EpisimRunner,45,512,6,36,12,122,6,24,0,9
MATSim Episim,org.matsim.episim,EpisimConfigGroup.FacilitiesHandling,0,24,0,0,0,3,0,1,0,1
MATSim Episim,org.matsim.episim,EpisimModule,7,179,2,2,2,35,2,13,0,13
MATSim Episim,org.matsim.episim,DataUtils,62,88,3,3,13,16,3,3,1,2
MATSim Episim,org.matsim.episim,InfectionEventHandler.1.new TypeLiteral() {...},0,6,0,0,0,1,0,1,0,1
MATSim Episim,org.matsim.episim,EpisimContainer,40,306,5,9,3,81,6,27,2,24
MATSim Episim,org.matsim.episim,InfectionEventHandler.1.new TypeLiteral() {...},0,6,0,0,0,1,0,1,0,1
MATSim Episim,org.matsim.episim,InfectionEventHandler.1.new TypeLiteral() {...},0,6,0,0,0,1,0,1,0,1
MATSim Episim,org.matsim.episim,ReplayHandler,36,253,10,22,6,49,10,16,0,10
MATSim Episim,org.matsim.episim,EpisimPerson.PerformedActivity,9,19,0,0,2,7,2,3,2,3
MATSim Episim,org.matsim.episim,TracingConfigGroup.Strategy,0,64,0,0,0,7,0,1,0,1
MATSim Episim,org.matsim.episim,EpisimConfigGroup,282,764,29,26,64,213,43,97,22,89
MATSim Episim,org.matsim.episim,TestingConfigGroup.Strategy,0,44,0,0,0,5,0,1,0,1
